date,daily_pnl,n_trades,sentiment_value,classification
2024-12-14,10818.660529,313,83,Extreme Greed
2024-12-15,4322.91647,254,80,Extreme Greed
2024-12-16,4682.003516,172,83,Extreme Greed
2024-12-17,12254.125755,335,87,Extreme Greed
2024-12-18,2712.3089569999997,310,81,Extreme Greed
2024-12-19,22631.106984000002,404,75,Extreme Greed
2024-12-20,8825.978925,386,74,Greed
2024-12-21,3991.955015,137,73,Greed
2024-12-22,2718.982224,81,73,Greed
2024-12-23,33290.456749000004,96,70,Greed
2024-12-24,2084.697411,22,73,Greed
2024-12-26,17988.646413,69,79,Extreme Greed
2024-12-28,16.912182,5,72,Greed
2024-12-29,390.062046,4,73,Greed
2024-12-30,4235.298688,9,65,Greed
2024-12-31,2301.21954,2,64,Greed
2025-01-02,5829.905466,58,70,Greed
2025-01-03,3084.287743,29,74,Greed
2025-01-05,890.33157,4,72,Greed
2025-01-06,3575.442423,14,76,Extreme Greed
2025-01-07,11206.706221,221,78,Extreme Greed
2025-01-08,3710.36178,45,70,Greed
2025-01-09,10647.977,1,69,Greed
2025-01-10,-36229.641811,117,50,Neutral
2025-01-11,1559.841529,27,69,Greed
2025-01-12,736.621517,34,62,Greed
2025-01-13,5701.711473,101,61,Greed
2025-01-14,1983.485278,21,63,Greed
2025-01-15,7470.003118,42,70,Greed
2025-01-16,5170.4237570000005,57,75,Extreme Greed
2025-01-17,811.1445319999999,7,75,Extreme Greed
2025-01-18,8223.252836,94,77,Extreme Greed
2025-01-19,74647.224101,144,77,Extreme Greed
2025-01-20,63895.782801,492,76,Extreme Greed
2025-01-21,2953.3108039999997,40,76,Extreme Greed
2025-01-22,3661.513461,61,84,Extreme Greed
2025-01-23,31974.129505,112,75,Extreme Greed
2025-01-24,5247.786855,145,75,Extreme Greed
2025-01-25,446.44485399999996,4,75,Extreme Greed
2025-01-26,38279.569029,97,73,Greed
2025-01-27,2582.715893,122,71,Greed
2025-01-28,2625.122823,72,72,Greed
2025-01-29,45.381082,28,72,Greed
2025-01-30,8328.105072,148,70,Greed
2025-01-31,16910.807139,238,76,Extreme Greed
2025-02-01,25341.992171,125,68,Greed
2025-02-02,145817.72017000002,117,60,Greed
2025-02-03,163728.471874,795,44,Fear
2025-02-04,406732.982689,638,72,Greed
2025-02-05,52865.314259,290,54,Neutral
2025-02-06,55542.441441,668,49,Neutral
2025-02-07,13786.764703,135,44,Fear
2025-02-08,235.47104,1,44,Fear
2025-02-09,149442.309584,234,46,Neutral
2025-02-10,58146.232828,80,43,Fear
2025-02-11,2043.2172859999998,27,47,Neutral
2025-02-12,17485.895642,450,46,Neutral
2025-02-13,4595.55033,96,50,Neutral
2025-02-14,2678.115601,25,48,Neutral
2025-02-15,4346.743973,32,50,Neutral
2025-02-16,329.51391,12,54,Neutral
2025-02-17,1204.110761,5,51,Neutral
2025-02-18,78460.394596,405,47,Neutral
2025-02-19,7632.892949,258,44,Fear
2025-02-20,38793.313845,289,49,Neutral
2025-02-21,93887.895885,443,55,Greed
2025-02-22,8352.806906,228,49,Neutral
2025-02-23,10044.983626,200,50,Neutral
2025-02-24,44957.600107,1986,49,Neutral
2025-02-25,206517.064771,922,25,Fear
2025-02-26,37122.557306,552,21,Extreme Fear
2025-02-27,8517.7655,13,10,Extreme Fear
2025-02-28,130987.5,3,16,Extreme Fear
2025-03-01,9482.221441,36,20,Extreme Fear
2025-03-02,22869.80529,57,26,Fear
2025-03-03,551988.112618,624,33,Fear
2025-03-04,177135.235423,182,15,Extreme Fear
2025-03-05,230603.801722,976,20,Extreme Fear
2025-03-06,3767.233234,43,25,Fear
2025-03-07,90679.466265,582,34,Fear
2025-03-08,15374.095683,145,28,Fear
2025-03-09,2762.665254,98,27,Fear
2025-03-10,17285.5818,267,20,Extreme Fear
2025-03-11,39018.832457,522,24,Extreme Fear
2025-03-12,291642.454744,1763,34,Fear
2025-03-13,6053.739623,10,45,Neutral
2025-03-14,66559.00085,1819,27,Fear
2025-03-15,75369.725117,62,46,Neutral
2025-03-16,2284.31814,34,30,Fear
2025-03-17,8712.568679,184,32,Fear
